conference,year,submission_deadline,total_references,hallucinated_references,hallucination_rate_percent
ICLR,2021,2020-10-02,40304,157,0.389539
ICML,2021,2021-02-04,53681,232,0.432183
NEURIPS,2021,2021-05-28,113411,484,0.426766
ICLR,2024,2023-09-28,127633,444,0.347872
ICML,2024,2024-02-01,148902,623,0.418396
NEURIPS,2024,2024-05-22,262301,1400,0.533738
ICLR,2025,2024-10-01,221281,835,0.377348
ICML,2025,2025-01-30,183256,981,0.535317
NEURIPS,2025,2025-05-15,334013,2265,0.678117
ICLR,2026,2025-09-24,311080,1186,0.381252
