conference,year,submission_deadline,total_papers,papers_with_ge2_academic_flags,academic_paper_rate_percent
ICLR,2021,2020-10-02,859,19,2.211874
ICML,2021,2021-02-04,1183,14,1.183432
USENIX,2021,2021-02-04,243,5,2.057613
NEURIPS,2021,2021-05-28,2334,44,1.885176
ICLR,2024,2023-09-28,2260,39,1.725664
ICML,2024,2024-02-01,2610,48,1.839080
USENIX,2024,2024-02-08,417,12,2.877698
NEURIPS,2024,2024-05-22,4555,169,3.710209
ICLR,2025,2024-10-01,3703,70,1.890359
ICML,2025,2025-01-30,3260,111,3.404908
USENIX,2025,2025-02-06,438,21,4.794521
NEURIPS,2025,2025-05-15,5908,302,5.111713
ICLR,2026,2025-09-24,5355,130,2.427638
